rank,experiment,model_key,strategy,accuracy,macro_f1,grounding,peak_vram_gb,composite_score
1,qwen25vl-3b-v1,qwen25vl-3b-v1,llm_projector,1.0,1.0,1.0,0.0,100.0
2,qwen25vl-7b-v1,qwen25vl-7b-v1,llm_projector,1.0,1.0,1.0,0.0,100.0
